paired_n,plant_n,median,mean,paired_ci_low,paired_ci_high,plant_ci_low,plant_ci_high,hierarchical_ci_low,hierarchical_ci_high,win_rate,tie_rate,leave_one_plant_min,leave_one_plant_max,scenario_id,scenario_label,scope,scope_label,metric,metric_label,effect_definition
40,8,-23.2691614710675,-25.677718393272794,-42.680568676703565,-10.479981719676754,-42.07953708237384,-8.779337528273688,-46.02608480697753,-5.66648427667295,0.1,0.0,-29.00218259797464,-13.659897532799862,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-42.19629736530172,-43.54256219355526,-55.108740181483135,-31.036951384417492,-60.31615292351834,-27.179017588888208,-60.41884355438211,-27.000608028258615,0.0,0.0,-50.89892736095443,-36.364394786542746,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-23.40879350061749,-23.738073909217462,-38.863448146569496,-6.631468037535642,-37.837240313278166,-4.577130225414301,-44.48051181787933,-4.327874722053718,0.15,0.0,-30.722497542233885,-12.668687680619321,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-39.56955897914528,-59.81627679049181,-77.20154948990938,-0.35511581137245163,-77.20154948990938,6.247643899257021,-88.61998816136345,6.485745216090842,0.35,0.0,-48.24255169063619,-22.284855754525424,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-131.35195296739,-124.10512337131816,-143.74678668117775,-72.05913900937459,-153.75938966346712,-74.04479511526667,-158.15842968108672,-55.169582455946546,0.0,0.0,-135.1335021381828,-126.91921814102449,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-33.52969611703521,-60.50872818013056,-73.5779796667806,3.1995486485993463,-67.56322785118851,7.7587459676432236,-83.52545925635525,8.979648202245532,0.4,0.0,-40.209807543343764,-11.101835424252974,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-16.035461601674402,-23.7056313029529,-27.55403265332003,-12.493903415486685,-29.461424399218046,-9.846687151201385,-33.537950534549324,-7.7854796579493355,0.16666666666666666,0.0,-17.990424977913587,-14.07208644982218,n0_d0_m0,Baseline,all_tasks,All 15 tasks,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-42.19629736530172,-43.36615739176338,-50.846872474697385,-31.87404060194587,-58.7874149291865,-27.000608028258615,-58.93430455786974,-27.000608028258615,0.0,0.0,-50.47952215766381,-36.21349052773097,n0_d0_m0,Baseline,all_tasks,All 15 tasks,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-16.52159354352895,-21.88955063365982,-24.887816541797537,-12.177155540057079,-30.878728984655893,-7.6802057846250555,-33.027463665484866,-7.451458913972318,0.19166666666666668,0.0,-19.566145446769212,-13.023625358003581,n0_d0_m0,Baseline,all_tasks,All 15 tasks,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-22.302128451068132,-53.766057671736704,-49.46583436335218,-3.888346972182401,-61.57131150672586,3.8051181350339993,-70.8009132453422,5.982930349989813,0.35833333333333334,0.0,-37.94019572086943,-13.41827032563971,n0_d0_m0,Baseline,all_tasks,All 15 tasks,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
