paired_n,plant_n,median,mean,paired_ci_low,paired_ci_high,plant_ci_low,plant_ci_high,hierarchical_ci_low,hierarchical_ci_high,win_rate,tie_rate,leave_one_plant_min,leave_one_plant_max,scenario_id,scenario_label,scope,scope_label,metric,metric_label,effect_definition
40,8,-22.911981868129246,-21.27629082312425,-24.796884078214035,-18.38387361240234,-24.761196062684498,-19.34547471864677,-25.892826831103612,-16.23337522377423,0.0,0.0,-23.736840240423078,-22.35277075767613,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-19.1612059688089,-19.04749630113849,-22.4360649803652,-15.977413167001513,-21.378065124713316,-18.46239850711055,-22.980469007280224,-14.618400062306304,0.0,0.0,-19.736729701166325,-18.969090318728647,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-19.1612059688089,-19.04749630113849,-22.4360649803652,-15.977413167001513,-21.378065124713316,-18.410863423922066,-22.980469007280224,-14.618400062306304,0.0,0.0,-19.736729701166325,-18.969090318728647,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-15.2969726630405,-15.329330518968192,-21.4857303943965,-7.7668716469832155,-20.508451529297467,-12.955921826171382,-22.09491997213776,-7.7660158701995705,0.0,0.0,-16.218275448102396,-15.025640915414417,n0_d0_m0,Baseline,demand_conflict,Demand-conflict,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-22.85054649254039,-21.211084651658705,-23.755966265249036,-19.892685454607847,-24.58234802985656,-18.745404304333057,-25.597627952343796,-18.071282822769536,0.0,0.0,-23.686728470352048,-22.36409388474869,n0_d0_m0,Baseline,all_tasks,All 15 tasks,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-19.561524570557637,-19.28903354921033,-21.75859225503788,-18.46239850711055,-21.86250813884519,-18.715744412919598,-22.19787365840095,-18.189541316239996,0.0,0.0,-20.522756554049934,-19.17426531569802,n0_d0_m0,Baseline,all_tasks,All 15 tasks,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-19.624337899438785,-19.48606728282827,-21.9664240226525,-18.71229365167746,-22.095632368310035,-18.939459558785117,-22.4360649803652,-18.126607362368475,0.0,0.0,-20.558256591025685,-19.17426531569802,n0_d0_m0,Baseline,all_tasks,All 15 tasks,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-14.7663780622557,-15.25918782595358,-20.157819395543925,-10.32530353467787,-20.165637927450106,-12.075093097797179,-20.876540816655243,-8.883379963982497,0.0,0.0,-16.218275448102396,-13.782922392620378,n0_d0_m0,Baseline,all_tasks,All 15 tasks,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-28.724819831668746,-27.470745081870337,-30.809363755102503,-23.37722887304886,-30.075273407863506,-24.65044325385653,-31.272670143591668,-22.347002539700085,0.0,0.0,-29.737647399518348,-26.0599473074113,delay_2,Added delay +2,demand_conflict,Demand-conflict,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-24.86804426386752,-24.68188816424685,-30.39179594856194,-19.642505809039882,-30.234935960471983,-19.740332677974195,-31.902279158271792,-19.048308331794697,0.0,0.0,-26.32933650495655,-22.22295945830383,delay_2,Added delay +2,demand_conflict,Demand-conflict,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-24.86804426386752,-24.878541985841373,-30.39179594856194,-19.642505809039882,-30.234935960471983,-19.642505809039882,-31.902279158271792,-19.048308331794697,0.0,0.0,-26.32933650495655,-22.22295945830383,delay_2,Added delay +2,demand_conflict,Demand-conflict,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-9.918018677446295,-13.337357404384488,-15.433541493056326,-7.212322284631354,-15.428363767683454,-8.635036403244635,-17.189215031420588,-7.205874707136046,0.0,0.0,-11.213802247275526,-9.90362243977094,delay_2,Added delay +2,demand_conflict,Demand-conflict,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-28.272727808591842,-27.398776344066643,-29.737647399518348,-24.318604270998097,-29.822681361760942,-24.838857260289736,-30.327865453966066,-23.486587215437883,0.0,0.0,-29.636302185385347,-25.805715415631244,delay_2,Added delay +2,all_tasks,All 15 tasks,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-24.36021483476465,-24.94729276925991,-28.28915168197016,-21.59695219933614,-29.49311597101698,-19.642505809039882,-30.98396044439255,-19.394320504884448,0.0,0.0,-25.37587369297039,-23.160119249593592,delay_2,Added delay +2,all_tasks,All 15 tasks,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-25.37587369297039,-25.415331406594305,-28.323427237263225,-22.22295945830383,-30.109950959177592,-21.251051028853496,-31.606628395017697,-20.640770554973095,0.0,0.0,-26.32933650495655,-24.36021483476465,delay_2,Added delay +2,all_tasks,All 15 tasks,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-9.918018677446295,-13.313511472581615,-13.435472562578912,-8.401519947329774,-14.921925521682038,-9.210707865269509,-15.433541493056326,-8.401519947329774,0.0,0.0,-11.462425629143839,-9.445686418710988,delay_2,Added delay +2,all_tasks,All 15 tasks,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-30.63948325820849,-32.92672176297752,-38.758103965439545,-26.536291351420928,-38.40496200448959,-28.45376076451695,-41.4990297676042,-25.368108106190018,0.0,0.0,-32.14068727751435,-29.591552863049095,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-28.730454606946115,-28.642123501760704,-30.568921574058344,-24.48715750454513,-29.77595591229529,-24.915957400544976,-32.00236564849095,-24.13874256063415,0.0,0.0,-29.062458499303116,-25.430008383319542,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-29.376605346409875,-30.514541658057027,-33.7138321122365,-25.07663387946654,-31.67117429852418,-28.730454606946115,-34.65193561677498,-24.915957400544976,0.0,0.0,-29.88077576626572,-29.062458499303116,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-8.602152034761472,-9.770051717878488,-11.743838590260502,-5.856912052990014,-10.898420286871975,-7.455378987805782,-13.005066673015,-4.237298762714611,0.175,0.0,-9.893959107125289,-8.56211145382652,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-31.474970697115324,-33.68285950292338,-34.95667149325149,-28.94493611983714,-38.58126172414564,-28.8064893945514,-39.229070527594935,-28.101032134482505,0.0,0.0,-31.64461922432962,-29.63434729208736,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-28.882966957227907,-29.51748888249113,-29.77595591229529,-25.430008383319542,-29.671136058324862,-26.164128900902035,-30.41115331445634,-24.921436950326957,0.0,0.0,-29.062458499303116,-28.418570221413535,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-29.042338992478694,-30.141628267923235,-30.196312285469734,-26.376542189018817,-29.77595591229529,-26.59984846626882,-31.471948255568954,-25.430008383319542,0.0,0.0,-29.082074634494887,-28.860408527860915,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-8.601667909024343,-8.86139348291224,-9.914345231203662,-7.708912829053817,-10.917263112167506,-7.708912829053817,-11.249297128133817,-7.427665408821616,0.15833333333333333,0.0,-8.962133941230666,-8.016891975580169,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-30.574045668380023,-33.221530707353445,-37.41548327178576,-27.38980531467861,-37.41548327178576,-27.55627519799663,-40.738962725414,-27.057856978451426,0.0,0.0,-32.06973055667177,-30.18591247101548,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-27.951769475005364,-28.5645976610633,-31.22190810287308,-25.383933427291673,-31.062988081218727,-24.843522726041403,-32.62501983310761,-22.38384706763885,0.0,0.0,-28.341086047696294,-27.727486145048985,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-28.412704627231648,-29.659106693866807,-31.397896087924224,-26.214150834356122,-31.22190810287308,-27.180776429041586,-33.02811126650671,-26.05518544477798,0.0,0.0,-28.99247105528373,-28.082694413853694,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,cumulative_issued_delta_u_l2,Cumulative issued $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
40,8,-8.141880941086551,-10.098714755390619,-10.893083876796425,-5.444215332452746,-9.965191500614125,-4.817273818894115,-12.629120590921008,-4.2740588279968055,0.1,0.0,-8.751023647373724,-6.986831721946613,n1_d1_m1,Triple stress,demand_conflict,Demand-conflict,final_command_correction_l2,Final command-correction $L_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-30.963544991874013,-33.42045279632975,-32.948218656550424,-29.673144389874658,-37.12673929020963,-29.107623386220574,-40.05098695337965,-27.55627519799663,0.0,0.0,-31.315923190235647,-30.65193351019596,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,cumulative_delta_theta_l2,Cumulative $||\Delta\theta||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
120,8,-27.98218852457977,-28.866175519261812,-28.883385306799674,-26.110757700176087,-29.58616338894221,-24.98200930373372,-30.756667348715254,-24.91276601488756,0.0,0.0,-28.341086047696294,-27.473095067290426,n1_d1_m1,Triple stress,all_tasks,All 15 tasks,cumulative_learned_delta_u_l2,Cumulative learned $||\Delta u||_2$,100*(Proposed-BF_NOILC)/BF_NOILC; positive means greater Proposed effort
