scenario_id,scope,plant_id,plant_median_task_auc_effect_percent
n0_d0_m0,demand_conflict,S26001,-2.9277826019738313
n0_d0_m0,demand_conflict,S26002,-11.113276288152122
n0_d0_m0,demand_conflict,S26003,-43.29701133755455
n0_d0_m0,demand_conflict,S26004,-5.66648427667295
n0_d0_m0,demand_conflict,S26005,-4.304610592552826
n0_d0_m0,demand_conflict,S26006,-49.39898309392419
n0_d0_m0,demand_conflict,S26007,-52.84773838688219
n0_d0_m0,demand_conflict,S26008,-42.06412601585258
n0_d0_m0,all_tasks,S26001,-7.467433354765331
n0_d0_m0,all_tasks,S26002,-11.113276288152122
n0_d0_m0,all_tasks,S26003,-35.88118210906681
n0_d0_m0,all_tasks,S26004,-5.66648427667295
n0_d0_m0,all_tasks,S26005,-4.304610592552826
n0_d0_m0,all_tasks,S26006,-37.77406743867133
n0_d0_m0,all_tasks,S26007,-29.240882420131907
n0_d0_m0,all_tasks,S26008,-36.639677501870636
delay_2,demand_conflict,S26001,3.3056525160002788
delay_2,demand_conflict,S26002,3.0565292510726167
delay_2,demand_conflict,S26003,-13.305120797665257
delay_2,demand_conflict,S26004,0.4890529335071251
delay_2,demand_conflict,S26005,-4.185599295817018
delay_2,demand_conflict,S26006,-14.300369646814046
delay_2,demand_conflict,S26007,-22.2465829916875
delay_2,demand_conflict,S26008,-14.621728516316614
delay_2,all_tasks,S26001,-3.265183158749283
delay_2,all_tasks,S26002,3.0565292510726167
delay_2,all_tasks,S26003,-5.137196924852651
delay_2,all_tasks,S26004,-2.688922988367115
delay_2,all_tasks,S26005,-4.0238734503676366
delay_2,all_tasks,S26006,-17.50837229785344
delay_2,all_tasks,S26007,-20.398108350864113
delay_2,all_tasks,S26008,-6.6029742292902665
n0_d1_m0,demand_conflict,S26001,-4.362992289282731
n0_d1_m0,demand_conflict,S26002,-1.185663835746957
n0_d1_m0,demand_conflict,S26003,-2.6921864277634877
n0_d1_m0,demand_conflict,S26004,-2.247540098458261
n0_d1_m0,demand_conflict,S26005,-3.1818635142311993
n0_d1_m0,demand_conflict,S26006,2.497319640707701
n0_d1_m0,demand_conflict,S26007,-0.2707166604190584
n0_d1_m0,demand_conflict,S26008,-2.1832193826297477
n0_d1_m0,all_tasks,S26001,-5.237402543110193
n0_d1_m0,all_tasks,S26002,-3.7162464483183366
n0_d1_m0,all_tasks,S26003,-2.6921864277634877
n0_d1_m0,all_tasks,S26004,-2.9864111737234786
n0_d1_m0,all_tasks,S26005,-1.1843198632516516
n0_d1_m0,all_tasks,S26006,-6.870228931977479
n0_d1_m0,all_tasks,S26007,-0.2707166604190584
n0_d1_m0,all_tasks,S26008,-2.9724968495739117
n1_d1_m1,demand_conflict,S26001,-3.687513813769338
n1_d1_m1,demand_conflict,S26002,-1.2528997040267034
n1_d1_m1,demand_conflict,S26003,-1.8212844163457969
n1_d1_m1,demand_conflict,S26004,-1.556278848578864
n1_d1_m1,demand_conflict,S26005,2.7426967633548394
n1_d1_m1,demand_conflict,S26006,-2.7782358113415007
n1_d1_m1,demand_conflict,S26007,-1.648423476145148
n1_d1_m1,demand_conflict,S26008,-4.289954388996152
n1_d1_m1,all_tasks,S26001,-4.160615334710759
n1_d1_m1,all_tasks,S26002,-1.7649841708970966
n1_d1_m1,all_tasks,S26003,-1.8212844163457969
n1_d1_m1,all_tasks,S26004,-2.4440867717236294
n1_d1_m1,all_tasks,S26005,2.7426967633548394
n1_d1_m1,all_tasks,S26006,-5.34409892938757
n1_d1_m1,all_tasks,S26007,-1.1806282822773473
n1_d1_m1,all_tasks,S26008,-4.207301177848208
