manifest_id,trajectory,regime,audit_seed,absolute_error_top2,tolerance_priority_top2,identical_top2,top2_jaccard,rank_correlation,initial_zone_violation_rate
harmonic_loop--neutral,harmonic_loop,neutral,733,"[1, 3]","[1, 3]",1,1.0,1.0,1.0
harmonic_loop--neutral,harmonic_loop,neutral,751,"[1, 3]","[1, 3]",1,1.0,1.0,1.0
harmonic_loop--neutral,harmonic_loop,neutral,769,"[2, 3]","[2, 3]",1,1.0,1.0,0.8333333333333334
harmonic_loop--demand_aligned,harmonic_loop,demand_aligned,733,"[1, 3]","[1, 3]",1,1.0,0.942857142857143,0.8333333333333334
harmonic_loop--demand_aligned,harmonic_loop,demand_aligned,751,"[1, 3]","[1, 3]",1,1.0,0.942857142857143,1.0
harmonic_loop--demand_aligned,harmonic_loop,demand_aligned,769,"[2, 3]","[2, 3]",1,1.0,1.0,0.6666666666666666
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,733,"[1, 3]","[3, 4]",0,0.3333333333333333,0.7142857142857143,1.0
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,751,"[1, 3]","[3, 4]",0,0.3333333333333333,0.7714285714285715,1.0
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,769,"[2, 3]","[1, 3]",0,0.3333333333333333,0.8285714285714287,0.8333333333333334
ellipse--neutral,ellipse,neutral,733,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
ellipse--neutral,ellipse,neutral,751,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
ellipse--neutral,ellipse,neutral,769,"[3, 4]","[3, 4]",1,1.0,1.0,0.8333333333333334
ellipse--demand_aligned,ellipse,demand_aligned,733,"[3, 4]","[3, 4]",1,1.0,0.942857142857143,0.8333333333333334
ellipse--demand_aligned,ellipse,demand_aligned,751,"[3, 4]","[3, 4]",1,1.0,1.0,0.8333333333333334
ellipse--demand_aligned,ellipse,demand_aligned,769,"[3, 4]","[3, 4]",1,1.0,0.942857142857143,0.6666666666666666
ellipse--demand_conflict,ellipse,demand_conflict,733,"[3, 4]","[1, 4]",0,0.3333333333333333,0.6571428571428573,1.0
ellipse--demand_conflict,ellipse,demand_conflict,751,"[3, 4]","[1, 4]",0,0.3333333333333333,0.5428571428571429,1.0
ellipse--demand_conflict,ellipse,demand_conflict,769,"[3, 4]","[1, 4]",0,0.3333333333333333,0.8285714285714287,0.8333333333333334
rounded_square--neutral,rounded_square,neutral,733,"[2, 4]","[2, 4]",1,1.0,1.0,1.0
rounded_square--neutral,rounded_square,neutral,751,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
rounded_square--neutral,rounded_square,neutral,769,"[1, 4]","[1, 4]",1,1.0,1.0,1.0
rounded_square--demand_aligned,rounded_square,demand_aligned,733,"[2, 4]","[2, 4]",1,1.0,0.942857142857143,1.0
rounded_square--demand_aligned,rounded_square,demand_aligned,751,"[3, 4]","[2, 4]",0,0.3333333333333333,0.7142857142857143,1.0
rounded_square--demand_aligned,rounded_square,demand_aligned,769,"[1, 4]","[2, 4]",0,0.3333333333333333,0.942857142857143,0.8333333333333334
rounded_square--demand_conflict,rounded_square,demand_conflict,733,"[2, 4]","[1, 3]",0,0.0,0.48571428571428577,1.0
rounded_square--demand_conflict,rounded_square,demand_conflict,751,"[3, 4]","[1, 3]",0,0.3333333333333333,0.7142857142857143,1.0
rounded_square--demand_conflict,rounded_square,demand_conflict,769,"[1, 4]","[1, 3]",0,0.3333333333333333,0.6571428571428573,1.0
figure_eight--neutral,figure_eight,neutral,733,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
figure_eight--neutral,figure_eight,neutral,751,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
figure_eight--neutral,figure_eight,neutral,769,"[2, 4]","[2, 4]",1,1.0,1.0,1.0
figure_eight--demand_aligned,figure_eight,demand_aligned,733,"[3, 4]","[2, 4]",0,0.3333333333333333,0.942857142857143,1.0
figure_eight--demand_aligned,figure_eight,demand_aligned,751,"[3, 4]","[2, 4]",0,0.3333333333333333,0.8285714285714287,1.0
figure_eight--demand_aligned,figure_eight,demand_aligned,769,"[2, 4]","[2, 4]",1,1.0,1.0,1.0
figure_eight--demand_conflict,figure_eight,demand_conflict,733,"[3, 4]","[2, 3]",0,0.3333333333333333,0.7714285714285715,1.0
figure_eight--demand_conflict,figure_eight,demand_conflict,751,"[3, 4]","[2, 3]",0,0.3333333333333333,0.6,1.0
figure_eight--demand_conflict,figure_eight,demand_conflict,769,"[2, 4]","[2, 3]",0,0.3333333333333333,0.7714285714285715,1.0
s_curve--neutral,s_curve,neutral,733,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
s_curve--neutral,s_curve,neutral,751,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
s_curve--neutral,s_curve,neutral,769,"[3, 4]","[3, 4]",1,1.0,1.0,1.0
s_curve--demand_aligned,s_curve,demand_aligned,733,"[3, 4]","[3, 4]",1,1.0,0.942857142857143,1.0
s_curve--demand_aligned,s_curve,demand_aligned,751,"[3, 4]","[3, 4]",1,1.0,0.942857142857143,1.0
s_curve--demand_aligned,s_curve,demand_aligned,769,"[3, 4]","[3, 4]",1,1.0,1.0,0.8333333333333334
s_curve--demand_conflict,s_curve,demand_conflict,733,"[3, 4]","[3, 4]",1,1.0,0.8285714285714287,1.0
s_curve--demand_conflict,s_curve,demand_conflict,751,"[3, 4]","[3, 4]",1,1.0,0.7714285714285715,1.0
s_curve--demand_conflict,s_curve,demand_conflict,769,"[3, 4]","[3, 4]",1,1.0,0.6,1.0
