manifest_id,trajectory,regime,scenario_id,stress_factor,stress_level,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,measured_score_auc_normalized,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,elapsed_s
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,full_trajectory,4.5644473287652785,1.6569812480062842,1.6569812480062842,0.5234650069886477,0.363019031365296,0.8333333333333334,0.5,1.1947818495795406,0.3762053240424737,0.31487365176736265,0.5234650069886477,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.2960705000000001
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,error_peak_dynamic,4.5644473287652785,1.2150594653188427,1.2150594653188427,0.4617759346522451,0.2662007857252515,0.8333333333333334,0.3333333333333333,1.1947818495795406,0.5229426066549349,0.4376887771093654,0.4617759346522451,3,"[[1, 3], [3, 4], [1, 3], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,0.21375804100000018
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,violation_safe,4.5644473287652785,1.5363552079857223,1.606520300978825,0.46414205568795164,0.3365917267362398,0.8333333333333334,0.5,1.1947818495795406,0.5745309896216716,0.4808668543331627,0.46414205568795164,3,"[[3, 4], [1, 3], [1, 4], [1, 3]]","[true, true, true, true, false]",1,2.0,0,1,1,0.2223866670000001
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,dual_anchor_dynamic,4.5644473287652785,1.2149003028358656,1.2149003028358656,0.44661935963558574,0.2661659156804218,0.8333333333333334,0.5,1.1947818495795406,0.4055061723736335,0.3393976670438511,0.44661935963558574,2,"[[1, 3], [3, 4], [3, 4], [1, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.2610694170000003
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,full_trajectory,5.003220816176494,2.3718104219775284,2.3718104219775284,0.6069250590095379,0.4740567144885856,0.8333333333333334,0.5,1.2764604876769912,0.49917558060056116,0.3910623050377394,0.6069250590095379,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.2978762910000001
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,error_peak_dynamic,5.003220816176494,1.4990874032179196,1.4990874032179196,0.5456986566708343,0.29962447357331223,0.8333333333333334,0.6666666666666666,1.2764604876769912,0.5986951365282939,0.4690275510351668,0.5456986566708343,2,"[[1, 3], [1, 3], [3, 4], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,1,0.21137595800000009
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,violation_safe,5.003220816176494,1.983147846481147,2.230272306602657,0.5183322620882245,0.3963742395836701,0.8333333333333334,0.5,1.2764604876769912,0.6787754580961762,0.5317637832499369,0.5183322620882245,3,"[[3, 4], [1, 3], [1, 4], [1, 3]]","[true, true, true, true, false]",1,2.0,0,1,1,0.2238764999999998
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,dual_anchor_dynamic,5.003220816176494,1.7324438028039175,1.7324438028039175,0.5179728511951771,0.34626570892145164,0.8333333333333334,0.6666666666666666,1.2764604876769912,0.5482919530554926,0.4295408736492266,0.5179728511951771,3,"[[1, 3], [3, 4], [1, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.252374208
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,full_trajectory,5.712649652886412,0.3668740080708438,0.3668740080708438,0.33984160506811945,0.06422133867170982,0.6666666666666666,0.0,1.4396089629146154,0.05616783023329908,0.03901603260345251,0.33984160506811945,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.17436604199999994
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,error_peak_dynamic,5.712649652886412,0.40104358715677646,0.40104358715677646,0.3516417897816365,0.0702027275476525,0.6666666666666666,0.0,1.4396089629146154,0.09017681301513973,0.06263979687412394,0.3516417897816365,3,"[[3, 4], [2, 4], [1, 2], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,1,0.15297804199999998
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,violation_safe,5.712649652886412,0.4595917675453295,0.4595917675453295,0.3660275004241623,0.08045159347608741,0.6666666666666666,0.0,1.4396089629146154,0.13668751763532053,0.0949476706220171,0.3660275004241623,3,"[[1, 4], [1, 2], [2, 4], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,0.15904183299999985
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,dual_anchor_dynamic,5.712649652886412,0.3869977283748562,0.3869977283748562,0.3529298972546121,0.06774399830021417,0.6666666666666666,0.0,1.4396089629146154,0.06331494805839026,0.04398065703217321,0.3529298972546121,3,"[[3, 4], [1, 4], [2, 4], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,0.197885125
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,full_trajectory,5.329892561094191,0.3392445178432903,0.3392445178432903,0.3413641248102403,0.06364941018128997,0.6666666666666666,0.0,1.311927356911312,0.05399862993029621,0.04115977126769115,0.3413641248102403,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.17603229199999948
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,error_peak_dynamic,5.329892561094191,0.40940360666632325,0.40940360666632325,0.3628615157308995,0.07681273158389434,0.6666666666666666,0.0,1.311927356911312,0.07814239209399268,0.05956304797086049,0.3628615157308995,2,"[[3, 4], [3, 4], [2, 3], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,1,0.15440637499999976
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,violation_safe,5.329892561094191,0.542185374938724,0.542185374938724,0.36179647549461963,0.10172538540390709,0.6666666666666666,0.0,1.311927356911312,0.140819119370118,0.1073375889513047,0.36179647549461963,1,"[[1, 4], [1, 4], [1, 2], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,0.16213645900000007
ellipse--demand_conflict,ellipse,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1417,dual_anchor_dynamic,5.329892561094191,0.3743632145460114,0.3743632145460114,0.34811167733416215,0.0702384166762936,0.6666666666666666,0.0,1.311927356911312,0.059829831571523426,0.045604530812118745,0.34811167733416215,3,"[[3, 4], [1, 4], [1, 2], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,0.1944242919999999
rounded_square--demand_conflict,rounded_square,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,full_trajectory,10.357804050755462,1.4084089534529816,1.4084089534529816,0.30925453594792995,0.13597563214668626,1.0,0.6666666666666666,2.607107756992417,0.4110696924818363,0.15767268973801452,0.30925453594792995,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,1,0.2901802500000006
rounded_square--demand_conflict,rounded_square,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,error_peak_dynamic,10.357804050755462,1.2829439090939752,1.2829439090939752,0.3191159069710546,0.1238625390871728,1.0,0.5,2.607107756992417,0.6073999919265077,0.23297847597492857,0.3191159069710546,3,"[[3, 4], [1, 2], [2, 4], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,1,0.23128287499999978
rounded_square--demand_conflict,rounded_square,demand_conflict,n0_d0_m0,factorial_combination,0.0,0.0,0,1.0,1409,violation_safe,10.357804050755462,1.3108968481913603,1.3108968481913603,0.33310678946574446,0.12656127126634995,1.0,0.6666666666666666,2.607107756992417,0.6069144747875328,0.23279224771578863,0.33310678946574446,3,"[[3, 4], [1, 3], [1, 2], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,0.2297859579999999
