method,runs,median_critical_auc,q25_critical_auc,q75_critical_auc,median_final_critical_ratio,median_final_global_ratio,median_window_iou,success_rate,median_elapsed_s
automatic_eta_0.10,30,0.32103247262338486,0.2951106044917348,0.4365082453718705,0.07119597706368547,0.32845335643907103,0.5,1.0,0.23365302100000918
automatic_eta_0.30,30,0.31869110841904325,0.2899655656389312,0.4040936575254378,0.07181787574414215,0.2608101496846766,0.5,1.0,0.2552008539999875
automatic_eta_1.00,30,0.32509302856646427,0.2883395536740561,0.37955326134147394,0.0804496946819891,0.20288704616582165,0.5,1.0,0.2642417290000125
curvature_window,30,0.368633633745712,0.35377800507737195,0.4801901874608001,0.12221024594388516,0.2700991922328613,0.2692307692307692,1.0,0.2580875210000073
error_peak_window,30,0.3263579740781782,0.2772143531071547,0.3778070128715587,0.08403105207443931,0.26376823515741593,0.6923076923076923,1.0,0.25391918749998865
full_trajectory,30,0.381637468753287,0.30250415274854947,0.4061091109898245,0.12870476309141887,0.15140171783105671,1.0,1.0,0.2805492505000018
jerk_window,30,0.3827158429051659,0.3447922278308123,0.3955696974020353,0.12021459085217534,0.2354537510291158,0.2,1.0,0.2516402084999996
learned_auto_eta_1.00,30,0.3248213716548386,0.28481430929486196,0.35815601156538934,0.07982132344942146,0.19845037821025985,0.5548780487804879,1.0,0.2625958335000007
random_window,30,0.4484012201675537,0.36536393735776546,0.5369917622747628,0.2198788565915208,0.25305352670214265,0.13793103448275862,1.0,0.244606916500004
safe_combo_eta_0.30,30,0.3263579740781782,0.2772143531071547,0.3778070128715587,0.08403105207443931,0.26376823515741593,0.5357142857142857,1.0,0.2561156665000084
