scope,method,runs,median_task_auc,median_final_task_ratio,median_final_violation_rate,median_final_global_ratio,median_rejected_trials,success_rate
all,full_trajectory,90,0.39555511303614166,0.1500190491642959,0.0,0.1752089800114398,0.0,1.0
all,static_tolerance,90,0.49430091336907245,0.27428755294776686,0.16666666666666666,0.38431748797273263,0.0,1.0
all,curvature_zones,90,0.38204203086208866,0.12098856256741114,0.0,0.2838563044420742,0.0,1.0
all,error_peak_dynamic,90,0.3442257631883484,0.10963925778208707,0.0,0.26319999955165696,0.0,1.0
all,violation_dynamic,90,0.34159511643202056,0.10675544084113878,0.0,0.2662103085330225,0.0,1.0
all,violation_safe,90,0.34159511643202056,0.10675544084113878,0.0,0.2662544518171096,0.0,1.0
all,dual_anchor_dynamic,90,0.3297300269768733,0.0973863478244558,0.0,0.2316097519540935,0.0,1.0
all,random_zones,90,0.5293627747915179,0.28766117651362,0.16666666666666666,0.33050585105543717,0.0,1.0
neutral,full_trajectory,30,0.40138834720282307,0.15473438172421872,0.0,0.1752089800114398,0.0,1.0
neutral,static_tolerance,30,0.4271508078373512,0.27428755294776686,0.16666666666666666,0.3149874211918,0.0,1.0
neutral,curvature_zones,30,0.3395939840937269,0.08590028549736564,0.0,0.23250297146235127,0.0,1.0
neutral,error_peak_dynamic,30,0.3327519780279323,0.09922814916539738,0.0,0.21636170245097325,0.0,1.0
neutral,violation_dynamic,30,0.3327519780279323,0.10086664490320621,0.0,0.22708485195275746,0.0,1.0
neutral,violation_safe,30,0.3327519780279323,0.10086664490320621,0.0,0.22708485195275746,0.0,1.0
neutral,dual_anchor_dynamic,30,0.3327519780279323,0.09922814916539738,0.0,0.2186352405536798,0.0,1.0
neutral,random_zones,30,0.45934922126675953,0.25876265308269253,0.16666666666666666,0.26187437812380676,0.0,1.0
demand_aligned,full_trajectory,30,0.39736419156247454,0.15255172907739473,0.08333333333333333,0.1752089800114398,0.0,1.0
demand_aligned,static_tolerance,30,0.33237423284331824,0.09746392858223688,0.0,0.46303534537653346,0.0,1.0
demand_aligned,curvature_zones,30,0.39346668769358684,0.11914542561800055,0.0,0.4376869004760263,0.0,1.0
demand_aligned,error_peak_dynamic,30,0.36764070502664503,0.14615814098654395,0.0,0.3680722780313391,0.0,1.0
demand_aligned,violation_dynamic,30,0.33806034376431404,0.09756803990212617,0.0,0.35850803214087423,0.0,1.0
demand_aligned,violation_safe,30,0.33806034376431404,0.09756803990212617,0.0,0.38574310351570185,0.0,1.0
demand_aligned,dual_anchor_dynamic,30,0.32841161145670517,0.0925050135955517,0.0,0.24763831612097456,0.0,1.0
demand_aligned,random_zones,30,0.4967257391556044,0.3386246375951792,0.3333333333333333,0.4290512170002041,0.0,1.0
demand_conflict,full_trajectory,30,0.3834067989191527,0.12624949630234836,0.0,0.1752089800114398,0.0,1.0
demand_conflict,static_tolerance,30,0.7336956071986002,0.5609908258455183,0.3333333333333333,0.5522706127270262,0.0,1.0
demand_conflict,curvature_zones,30,0.4225720347898507,0.13732800153346988,0.0,0.2809271859250334,0.0,1.0
demand_conflict,error_peak_dynamic,30,0.3431912508795151,0.10646295954855026,0.0,0.27947162585919844,0.0,1.0
demand_conflict,violation_dynamic,30,0.3529667741914253,0.11608305179087544,0.0,0.28000255025518805,0.0,1.0
demand_conflict,violation_safe,30,0.3529667741914253,0.11282669166372003,0.0,0.2980997703937009,0.0,1.0
demand_conflict,dual_anchor_dynamic,30,0.33728153798656824,0.09831436981999235,0.0,0.22572269488036467,0.0,1.0
demand_conflict,random_zones,30,0.5752793675899208,0.3196406494007208,0.16666666666666666,0.4362034435176191,0.0,1.0
