stage,scope,comparison,paired_n,median_improvement_percent,ci95_low_percent,ci95_high_percent,win_rate,status
V12 development,unknown_static_0_8,delay_aware_dual_anchor vs fixed_delay_2,15,0.369445,-2.934854,1.607402,0.666667,development gate failed
V12 development,unknown_static_0_8,oracle_true_delay_0p25 vs fixed_delay_2,15,-0.039981,-1.068673,1.245853,0.466667,development gate failed
V12 development,unknown_drift_pm2,delay_aware_dual_anchor vs fixed_delay_2,15,-0.259296,-1.209745,1.619026,0.466667,development gate failed
V12 development,unknown_drift_pm2,oracle_true_delay_0p25 vs fixed_delay_2,15,0.114766,-1.524704,1.847956,0.533333,development gate failed
V13 development,balanced_static,adaptive_rolling_delay vs_fixed2,20,3.598238,0.30576,5.700536,0.7,development gate failed
V13 development,balanced_static,adaptive_rolling_delay vs_v11,20,0.470215,-0.132538,1.290207,0.65,development gate failed
V13 development,balanced_slow_drift,adaptive_rolling_delay vs_fixed2,20,0.767528,-1.099562,1.62226,0.55,development gate failed
V13 development,balanced_slow_drift,adaptive_rolling_delay vs_v11,20,-0.317095,-0.885067,0.856067,0.45,development gate failed
V13 development,balanced_switch,adaptive_rolling_delay vs_fixed2,20,0.733575,-0.142733,1.344262,0.65,development gate failed
V13 development,balanced_switch,adaptive_rolling_delay vs_v11,20,-0.187901,-0.490468,0.013643,0.3,development gate failed
