manifest_id,trajectory,regime,scenario_id,scenario_mode,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,measured_score_auc_normalized,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,base_axis_delay_steps,extra_delay_schedule,actual_axis_delay_history,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,lag_absolute_error_steps,median_peak_correlation,elapsed_s
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1709,dual_anchor_dynamic,15.145129950485423,12.918820633824854,13.272621345742813,0.8845112786746919,0.8530016365697006,1.0,1.0,3.9474837634120297,3.251463462429262,0.8236800091658494,0.8845112786746919,2,"[[2, 3], [1, 3], [2, 3], [2, 3]]","[true, true, true, false, false]",2,1.0,0,1,1,"[4, 3]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]","[[9, 13], [9, 13], [9, 13], [9, 13], [9, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",0.5,0.9885776236145312,0.42256241699999997
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1709,fixed_delay_2,15.145129950485423,12.715175361233438,12.755298108635646,0.868131682189306,0.8395553820141305,1.0,1.0,3.9474837634120297,3.0929546785309365,0.7835256238919964,0.868131682189306,2,"[[2, 3], [1, 3], [2, 3], [2, 3]]","[true, true, true, false, false]",2,1.0,0,1,1,"[4, 3]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]","[[9, 13], [9, 13], [9, 13], [9, 13], [9, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0]]",0.5,0.9889662645776327,0.4621171249999998
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1709,fixed_delay_4,15.145129950485423,10.971389526346421,10.971389526346421,0.8420078445943016,0.7244169949162287,1.0,0.8333333333333334,3.9474837634120297,2.6988410149308564,0.6836864130881435,0.8420078445943016,3,"[[2, 3], [1, 3], [2, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[4, 3]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]","[[9, 13], [9, 13], [9, 13], [9, 13], [9, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]",0.5,0.9892107362325451,0.50172075
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1709,fixed_delay_6,15.145129950485423,11.944745573800326,12.166066616318128,0.8381129605034044,0.7886855783246336,1.0,0.6666666666666666,3.9474837634120297,2.8991592562772683,0.7344322181002118,0.8381129605034044,2,"[[2, 3], [1, 3], [2, 3], [2, 3]]","[true, true, true, false, false]",2,1.0,0,1,1,"[4, 3]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]","[[9, 13], [9, 13], [9, 13], [9, 13], [9, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[6.0, 6.0], [6.0, 6.0], [6.0, 6.0], [6.0, 6.0], [6.0, 6.0]]",0.5,0.9892646172147925,0.43905174999999996
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1709,delay_aware_dual_anchor,15.145129950485423,11.255962452957707,11.255962452957707,0.8309204745756799,0.7432067265026628,1.0,1.0,3.9474837634120297,2.806527847896938,0.710966280320074,0.8309204745756799,3,"[[2, 3], [1, 3], [2, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[4, 3]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]","[[9, 13], [9, 13], [9, 13], [9, 13], [9, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.75, 2.75], [1.75, 2.75], [1.75, 2.75], [1.75, 2.75], [1.75, 2.75]]",0.5,0.9889500223963518,0.4270463750000002
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1709,oracle_true_delay_0p25,15.145129950485423,12.26188500432533,12.262220042235219,0.845341567705817,0.8096256053539058,1.0,1.0,3.9474837634120297,2.9619746766611454,0.7503449929584881,0.845341567705817,2,"[[2, 3], [1, 3], [2, 3], [2, 3]]","[true, true, true, false, false]",2,1.0,0,1,1,"[4, 3]","[[4, 8], [4, 8], [4, 8], [4, 8], [4, 8]]","[[8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]","[[7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]","[[9, 13], [9, 13], [9, 13], [9, 13], [9, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75], [2.0, 2.75]]",0.5,0.9890105857173364,0.4021351669999995
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1723,dual_anchor_dynamic,10.599029492183071,3.0971774611303338,3.0971774611303338,0.5274898535205756,0.29221330721030114,1.0,0.8333333333333334,2.605541601184729,0.884871007772128,0.3396111608311227,0.5274898535205756,1,"[[2, 3], [2, 4], [2, 4], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[4, 2]","[[6, 5], [6, 5], [6, 5], [6, 5], [6, 5]]","[[10, 7], [10, 7], [10, 7], [10, 7], [10, 7]]","[[9, 6], [9, 6], [9, 6], [9, 6], [9, 6]]","[[11, 8], [11, 8], [11, 8], [11, 8], [11, 8]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",1.0,0.9951952959695578,0.3498690419999999
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1723,fixed_delay_2,10.599029492183071,3.180673239492906,3.180673239492906,0.5157872009063563,0.3000909886927568,1.0,0.8333333333333334,2.605541601184729,0.8407741625213359,0.3226869078348391,0.5157872009063563,3,"[[2, 3], [2, 4], [1, 2], [2, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[4, 2]","[[6, 5], [6, 5], [6, 5], [6, 5], [6, 5]]","[[10, 7], [10, 7], [10, 7], [10, 7], [10, 7]]","[[9, 6], [9, 6], [9, 6], [9, 6], [9, 6]]","[[11, 8], [11, 8], [11, 8], [11, 8], [11, 8]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0]]",1.0,0.9952873676673111,0.37665008399999955
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1723,fixed_delay_4,10.599029492183071,3.7544950493260805,3.774759458663197,0.5132967958407304,0.3542300785270078,1.0,0.6666666666666666,2.605541601184729,0.8858276379895247,0.33997831298749653,0.5132967958407304,3,"[[2, 3], [3, 4], [1, 2], [2, 4]]","[true, true, true, true, false]",1,2.0,0,1,1,"[4, 2]","[[6, 5], [6, 5], [6, 5], [6, 5], [6, 5]]","[[10, 7], [10, 7], [10, 7], [10, 7], [10, 7]]","[[9, 6], [9, 6], [9, 6], [9, 6], [9, 6]]","[[11, 8], [11, 8], [11, 8], [11, 8], [11, 8]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0], [4.0, 4.0]]",1.0,0.9953433119856345,0.3682726670000003
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,unknown_static_0_8,static,1723,fixed_delay_6,10.599029492183071,4.466792359950715,5.511124109963056,0.5980141534622073,0.42143409104060287,1.0,0.8333333333333334,2.605541601184729,1.3196820165821945,0.5064904801297897,0.5980141534622073,2,"[[2, 3], [1, 2], [2, 4], [2, 4]]","[true, true, true, false, false]",2,1.0,0,1,1,"[4, 2]","[[6, 5], [6, 5], [6, 5], [6, 5], [6, 5]]","[[10, 7], [10, 7], [10, 7], [10, 7], [10, 7]]","[[9, 6], [9, 6], [9, 6], [9, 6], [9, 6]]","[[11, 8], [11, 8], [11, 8], [11, 8], [11, 8]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[6.0, 6.0], [6.0, 6.0], [6.0, 6.0], [6.0, 6.0], [6.0, 6.0]]",1.0,0.9953859081109604,0.39278145799999997
