scenario_id,scope,proposed,comparator,paired_n,median_effect_percent,ci95_low,ci95_high,pair_win_rate
n0_d0_m0,demand_conflict,v11_full,no_residual_alignment,40,3.46165822160964,2.579590288617558,5.030287535492876,0.9
n0_d0_m0,all_tasks,v11_full,no_residual_alignment,120,3.1386159994764826,2.647809783538931,3.8403518421557403,0.8583333333333333
n0_d0_m0,demand_conflict,v11_full,task_top2,40,-0.2579919684088625,-2.0450446435099847,0.4236752015179157,0.4
n0_d0_m0,all_tasks,v11_full,task_top2,120,-0.03196292127875364,-0.639878234889517,0.0,0.275
n0_d0_m0,demand_conflict,v11_full,raw_top2,40,0.0,0.0,0.0,0.325
n0_d0_m0,all_tasks,v11_full,raw_top2,120,0.0,0.0,0.0,0.25
n0_d0_m0,demand_conflict,v11_full,uniform_full_trajectory,40,3.0323852317020816,-2.4328722948308603,5.857114475714015,0.6
n0_d0_m0,all_tasks,v11_full,uniform_full_trajectory,120,5.10251338889546,3.933215162334879,6.324396285047905,0.8
n0_d1_m0,demand_conflict,v11_full,no_residual_alignment,40,5.952135546326026,4.169855833797747,6.724613698581383,0.825
n0_d1_m0,all_tasks,v11_full,no_residual_alignment,120,4.7669555908929615,2.304620092548236,5.95236498944807,0.7083333333333334
n0_d1_m0,demand_conflict,v11_full,task_top2,40,-0.20284760129526294,-1.8147568018413338,0.0,0.15
n0_d1_m0,all_tasks,v11_full,task_top2,120,0.0,0.0,0.0,0.2
n0_d1_m0,demand_conflict,v11_full,raw_top2,40,0.0,0.0,0.0,0.275
n0_d1_m0,all_tasks,v11_full,raw_top2,120,0.0,0.0,0.0,0.125
n0_d1_m0,demand_conflict,v11_full,uniform_full_trajectory,40,1.82261471797821,0.6988255732830273,5.830035807662915,0.725
n0_d1_m0,all_tasks,v11_full,uniform_full_trajectory,120,3.725414432969382,2.237925959808067,5.257713885638066,0.7916666666666666
n1_d1_m1,demand_conflict,v11_full,no_residual_alignment,40,5.597492067133558,4.635876710497349,7.403265619579109,0.85
n1_d1_m1,all_tasks,v11_full,no_residual_alignment,120,5.166854887829977,3.3066017255642226,6.215322197690872,0.7416666666666667
n1_d1_m1,demand_conflict,v11_full,task_top2,40,-0.18337595689560338,-1.7765767830544854,0.0,0.15
n1_d1_m1,all_tasks,v11_full,task_top2,120,0.0,0.0,0.0,0.20833333333333334
n1_d1_m1,demand_conflict,v11_full,raw_top2,40,0.0,0.0,0.0,0.3
n1_d1_m1,all_tasks,v11_full,raw_top2,120,0.0,0.0,0.0,0.125
n1_d1_m1,demand_conflict,v11_full,uniform_full_trajectory,40,2.8656820216223338,0.8419831521625432,6.522470392076489,0.725
n1_d1_m1,all_tasks,v11_full,uniform_full_trajectory,120,3.540284561079054,2.863040093014644,4.909783461447891,0.825
