job_id,experiment,plant_group,plant_id,plant_seed,manifest_id,trajectory,regime,config_group,config_value,control_points,method,compensation_gain,smoothing_window,learning_rate,scenario_id,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,initial_task_score,final_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,trial_task_scores,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,median_estimated_axis_lag_steps,lag_absolute_error_steps,median_peak_correlation,elapsed_s
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24001|no_residual_alignment,01_matched_ablation,independent_seeded,S24001,24001,ellipse--demand_aligned,ellipse,demand_aligned,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.381024334686419,0.08856057916344562,0.24859506425860695,0.013878740233294804,0.6666666666666666,0.0,0.753622467841397,0.024824283148483,0.032939945672781315,"[6.381024334686419, 2.1674477745220533, 0.7146904120910855, 0.22823397453034872, 0.08856057916344562]","[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 2], [3, 2], [3, 2], [3, 2], [3, 2]]","[[5, 4], [5, 4], [5, 4], [5, 4], [5, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[3.0, 2.0]",0.5,0.9990937027251038,0.2417885420000001
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24001|raw_top2,01_matched_ablation,independent_seeded,S24001,24001,ellipse--demand_aligned,ellipse,demand_aligned,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.381024334686419,0.0967451662612708,0.2541824548546631,0.015161384941815164,0.6666666666666666,0.0,0.753622467841397,0.023663674872714858,0.031399906295913375,"[6.381024334686419, 2.219249070532517, 0.7656027207422593, 0.2640411777631287, 0.0967451662612708]","[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 2], [3, 2], [3, 2], [3, 2], [3, 2]]","[[5, 4], [5, 4], [5, 4], [5, 4], [5, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5]]","[3.0, 2.0]",0.5,0.9990928542375365,0.24087062500000123
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24001|task_top2,01_matched_ablation,independent_seeded,S24001,24001,ellipse--demand_aligned,ellipse,demand_aligned,method,task_top2,12,task_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.381024334686419,0.0967451662612708,0.2541824548546631,0.015161384941815164,0.6666666666666666,0.0,0.753622467841397,0.023663674872714858,0.031399906295913375,"[6.381024334686419, 2.219249070532517, 0.7656027207422593, 0.2640411777631287, 0.0967451662612708]","[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 2], [3, 2], [3, 2], [3, 2], [3, 2]]","[[5, 4], [5, 4], [5, 4], [5, 4], [5, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5]]","[3.0, 2.0]",0.5,0.9990928542375365,0.24256895799999967
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24001|uniform_full_trajectory,01_matched_ablation,independent_seeded,S24001,24001,ellipse--demand_aligned,ellipse,demand_aligned,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.381024334686419,0.11843307172713062,0.2694600617928773,0.018560197472268492,0.6666666666666666,0.0,0.753622467841397,0.01980132182288401,0.02627485600263617,"[6.381024334686419, 2.40596311884136, 0.8955512324299428, 0.3264817916277469, 0.11843307172713062]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 2], [3, 2], [3, 2], [3, 2], [3, 2]]","[[5, 4], [5, 4], [5, 4], [5, 4], [5, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5]]","[3.0, 2.0]",0.5,0.9990936451570658,0.25819174999999994
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24001|v11_full,01_matched_ablation,independent_seeded,S24001,24001,ellipse--demand_aligned,ellipse,demand_aligned,method,v11_full,12,v11_full,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.381024334686419,0.0967451662612708,0.2541824548546631,0.015161384941815164,0.6666666666666666,0.0,0.753622467841397,0.023663674872714858,0.031399906295913375,"[6.381024334686419, 2.219249070532517, 0.7656027207422593, 0.2640411777631287, 0.0967451662612708]","[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[3, 2], [3, 2], [3, 2], [3, 2], [3, 2]]","[[5, 4], [5, 4], [5, 4], [5, 4], [5, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5], [0.75, 0.5]]","[3.0, 2.0]",0.5,0.9990928542375365,0.24060100000000162
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24002|no_residual_alignment,01_matched_ablation,independent_seeded,S24002,24002,ellipse--demand_aligned,ellipse,demand_aligned,method,no_residual_alignment,12,no_residual_alignment,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.950044622215147,0.16289229381451523,0.25597516320753283,0.023437589637028477,0.6666666666666666,0.0,0.9367271815692615,0.032683326890847894,0.0348909773666382,"[6.950044622215147, 2.399914379138013, 0.8209918564384189, 0.33878053229337013, 0.16289229381451523]","[[3, 4], [3, 4], [2, 3], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 3.0]",0.5,0.9975459986307283,0.2686614590000005
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24002|raw_top2,01_matched_ablation,independent_seeded,S24002,24002,ellipse--demand_aligned,ellipse,demand_aligned,method,raw_top2,12,raw_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.950044622215147,0.14562981848408782,0.2468410085453353,0.020953796184069978,0.6666666666666666,0.0,0.9367271815692615,0.028455272279622027,0.030377331670841504,"[6.950044622215147, 2.2894270903015794, 0.7347194634759435, 0.29024032180354303, 0.14562981848408782]","[[3, 4], [2, 4], [1, 2], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75]]","[0.0, 3.0]",0.5,0.9975462145386673,0.2705090410000004
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24002|task_top2,01_matched_ablation,independent_seeded,S24002,24002,ellipse--demand_aligned,ellipse,demand_aligned,method,task_top2,12,task_top2,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.950044622215147,0.16165979389340474,0.24944930998273632,0.02326025265746853,0.6666666666666666,0.0,0.9367271815692615,0.035335610773150165,0.03772241424013535,"[6.950044622215147, 2.2894270903015794, 0.7402968660193764, 0.3491591770679512, 0.16165979389340474]","[[3, 4], [3, 4], [3, 4], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75]]","[0.0, 3.0]",0.5,0.9975464428275642,0.2774779170000006
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24002|uniform_full_trajectory,01_matched_ablation,independent_seeded,S24002,24002,ellipse--demand_aligned,ellipse,demand_aligned,method,uniform_full_trajectory,12,uniform_full_trajectory,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.950044622215147,0.14754964753082092,0.25802200914831197,0.021230028805742155,0.6666666666666666,0.0,0.9367271815692615,0.027182913786800253,0.029019029576212156,"[6.950044622215147, 2.4756753329404115, 0.8513695550233051, 0.29721588554079104, 0.14754964753082092]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75]]","[0.0, 3.0]",0.5,0.9975463360202101,0.28071300000000043
01_matched_ablation|matched|ellipse--demand_aligned|n0_d0_m0|24002|v11_full,01_matched_ablation,independent_seeded,S24002,24002,ellipse--demand_aligned,ellipse,demand_aligned,method,v11_full,12,v11_full,0.25,5,0.65,n0_d0_m0,0.0,0,1.0,6.950044622215147,0.12540935392640085,0.24606454463593724,0.018044395502950002,0.6666666666666666,0.0,0.9367271815692615,0.03133127297215425,0.033447596684091335,"[6.950044622215147, 2.2894270903015794, 0.7347194634759435, 0.2787647188109619, 0.12540935392640085]","[[3, 4], [2, 4], [2, 4], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]","[[2, 5], [2, 5], [2, 5], [2, 5], [2, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75], [0.0, 0.75]]","[0.0, 3.0]",0.5,0.9975462145386673,0.2760313330000006
