job_id,experiment,plant_group,plant_id,plant_seed,manifest_id,trajectory,regime,config_group,config_value,control_points,method,compensation_gain,smoothing_window,learning_rate,scenario_id,measurement_noise_std_mm,extra_delay_steps,mismatch_scale,initial_task_score,final_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,trial_task_scores,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,median_estimated_axis_lag_steps,lag_absolute_error_steps,median_peak_correlation,elapsed_s
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n0_d1_m0|25001|v11_full,03_parameter_sensitivity,independent_seeded,S25001,25001,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,7.931809151646931,1.2256097994856499,0.3734955365287432,0.1545183168245001,0.8333333333333334,0.3333333333333333,2.1742433997047765,0.3694535238138374,0.1699227988292399,"[7.931809151646931, 3.7555666287038667, 2.0746022874584273, 1.4411028672232797, 1.2256097994856499]","[[2, 3], [2, 3], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[7, 7], [7, 7], [7, 7], [7, 7], [7, 7]]","[[9, 9], [9, 9], [9, 9], [9, 9], [9, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.75, 1.75], [1.75, 1.75], [1.75, 1.75], [1.75, 1.75], [1.75, 1.75]]","[7.0, 7.0]",0.5,0.9998267935622687,0.7633034579999958
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n0_d1_m0|25002|v11_full,03_parameter_sensitivity,independent_seeded,S25002,25002,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,7.766290542448517,0.8076010218319887,0.35334919791685593,0.10398800011638147,0.8333333333333334,0.16666666666666666,1.9704335955951635,0.21956021383859675,0.1114273601147565,"[7.766290542448517, 3.8103978350052876, 1.8380638611740192, 1.0414426575342295, 0.8076010218319887]","[[2, 3], [2, 3], [2, 3], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[7, 5], [7, 5], [7, 5], [7, 5], [7, 5]]","[[9, 7], [9, 7], [9, 7], [9, 7], [9, 7]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.75, 1.25], [1.75, 1.25], [1.75, 1.25], [1.75, 1.25], [1.75, 1.25]]","[7.0, 5.0]",1.0,0.9984805200717272,0.6912742080000385
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n0_d1_m0|25003|v11_full,03_parameter_sensitivity,independent_seeded,S25003,25003,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,7.279743388405482,0.4285189790893174,0.3370492416070845,0.05886457203585277,0.6666666666666666,0.0,1.85507896209821,0.07252573851140376,0.03909576896358774,"[7.279743388405482, 3.3259948472154957, 1.750718763943639, 0.8836831577184872, 0.4285189790893174]","[[3, 4], [1, 4], [1, 3], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",1.0,0.9963160913458584,0.48032266599994955
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n0_d1_m0|25004|v11_full,03_parameter_sensitivity,independent_seeded,S25004,25004,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,6.237600449225314,0.31388237367164595,0.3283409688349815,0.05032101306049972,0.6666666666666666,0.0,1.6054979846693018,0.05217304666304197,0.032496488417447934,"[6.237600449225314, 2.820081618714526, 1.417242506851454, 0.6791735618021618, 0.31388237367164595]","[[3, 4], [1, 4], [1, 3], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.9975676590637186,0.4642179589999955
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n0_d1_m0|25005|v11_full,03_parameter_sensitivity,independent_seeded,S25005,25005,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,7.539010853039086,0.4338978469120994,0.33620872694890425,0.05755368381479234,0.6666666666666666,0.0,1.9428950434958454,0.07166160081860323,0.036883927960237484,"[7.539010853039086, 3.4385881788213295, 1.8100135425697528, 0.9036688940503002, 0.4338978469120994]","[[3, 4], [1, 4], [1, 3], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[5, 8], [5, 8], [5, 8], [5, 8], [5, 8]]","[[7, 10], [7, 10], [7, 10], [7, 10], [7, 10]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.25, 2.0], [1.25, 2.0], [1.25, 2.0], [1.25, 2.0], [1.25, 2.0]]","[5.0, 8.0]",0.5,0.9961746677440639,0.4880336670000247
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n0_d1_m0|25006|v11_full,03_parameter_sensitivity,independent_seeded,S25006,25006,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n0_d1_m0,0.0,4,1.0,6.569664275539642,0.3957875782692244,0.33527661534195263,0.06024471900989397,0.8333333333333334,0.0,1.9396508864759971,0.10134528984643654,0.05224924266168487,"[6.569664275539642, 2.998821449585347, 1.5501080982966151, 0.7789637341570953, 0.3957875782692244]","[[3, 4], [2, 3], [1, 3], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[6, 7], [6, 7], [6, 7], [6, 7], [6, 7]]","[[8, 9], [8, 9], [8, 9], [8, 9], [8, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.5, 1.75], [1.5, 1.75], [1.5, 1.75], [1.5, 1.75], [1.5, 1.75]]","[6.0, 7.0]",1.0,0.9996543113424443,0.561216375000015
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n1_d1_m1|25001|v11_full,03_parameter_sensitivity,independent_seeded,S25001,25001,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,7.488128890501111,1.2146969439302697,0.37004120271240626,0.16221635093262682,0.8333333333333334,0.3333333333333333,2.1265330876573425,0.36864874638162604,0.17335669429331166,"[7.488128890501111, 3.4284351511328754, 1.9810118092790896, 1.3228050051985347, 1.2146969439302697]","[[2, 3], [2, 3], [3, 4], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[7, 7], [7, 7], [7, 7], [7, 7], [7, 7]]","[[9, 9], [9, 9], [9, 9], [9, 9], [9, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.75, 1.75], [1.75, 1.75], [1.75, 1.75], [1.75, 1.75], [1.75, 1.75]]","[7.0, 7.0]",0.5,0.9995771116673012,0.9682908329999691
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n1_d1_m1|25002|v11_full,03_parameter_sensitivity,independent_seeded,S25002,25002,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,7.1732068950022025,0.5876166058281033,0.3370689080574848,0.08191825698454538,0.8333333333333334,0.0,1.8160957926442736,0.14744657087021706,0.08118876298674299,"[7.1732068950022025, 3.396913983202138, 1.6404163499242093, 0.7537179779337525, 0.5876166058281033]","[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[7, 5], [7, 5], [7, 5], [7, 5], [7, 5]]","[[9, 7], [9, 7], [9, 7], [9, 7], [9, 7]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.75, 1.25], [1.75, 1.25], [1.75, 1.25], [1.75, 1.25], [1.75, 1.25]]","[7.0, 5.0]",1.0,0.9983815399198928,0.6950870000000009
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n1_d1_m1|25003|v11_full,03_parameter_sensitivity,independent_seeded,S25003,25003,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,7.073737856536296,0.45837680824754606,0.3438207700226527,0.06479980139835058,0.6666666666666666,0.0,1.7942068458114788,0.0761112660822605,0.04242056386081679,"[7.073737856536296, 3.2729763623589108, 1.754244827934913, 0.9351134644050483, 0.45837680824754606]","[[3, 4], [1, 4], [1, 4], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",1.0,0.9960918855372225,0.5909539170000357
03_parameter_sensitivity|control_points_16|ellipse--demand_conflict|n1_d1_m1|25004|v11_full,03_parameter_sensitivity,independent_seeded,S25004,25004,ellipse--demand_conflict,ellipse,demand_conflict,nominal_control_points,16,16,v11_full,0.25,5,0.65,n1_d1_m1,0.05,4,1.7,6.272059599870351,0.3433389933734039,0.33219815824566984,0.05474102851007682,0.6666666666666666,0.0,1.5946042184624036,0.06028775283559609,0.03780734563321834,"[6.272059599870351, 2.920553085850135, 1.4115760396514125, 0.6944381678125885, 0.3433389933734039]","[[3, 4], [1, 4], [1, 3], [1, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[4, 7], [4, 7], [4, 7], [4, 7], [4, 7]]","[[6, 9], [6, 9], [6, 9], [6, 9], [6, 9]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75], [1.0, 1.75]]","[4.0, 7.0]",0.5,0.996768031385977,0.5978015000000028
