scenario_id,parameter,value,reference_value,paired_n,median_effect_vs_reference_percent,ci95_low,ci95_high,median_task_auc,success_rate
n0_d1_m0,residual_delay_shrinkage,0.0,0.0,30,0.0,0.0,0.0,0.6015336661930286,1.0
n0_d1_m0,residual_delay_shrinkage,0.1,0.0,30,3.0235261461035465,1.7091714246055387,4.301433831405508,0.5854189911225984,1.0
n0_d1_m0,residual_delay_shrinkage,0.25,0.0,30,5.677717839374789,4.076445663456627,9.840492287089535,0.5757060803161708,1.0
n0_d1_m0,residual_delay_shrinkage,0.4,0.0,30,7.341087665589566,5.68258771009619,10.432193532065332,0.5541593358103294,1.0
n0_d1_m0,residual_delay_shrinkage,0.6,0.0,30,6.799315711360041,-3.2386351464647527,10.758327000406691,0.5968473833969103,1.0
n0_d1_m0,residual_delay_shrinkage,1.0,0.0,30,-2.3376610909913618,-14.020561958367203,9.835342444206827,0.6615817916664318,1.0
n0_d1_m0,smoothing_window,3,5,30,0.0,0.0,0.0,0.5757060803161708,1.0
n0_d1_m0,smoothing_window,5,5,30,0.0,0.0,0.0,0.5757060803161708,1.0
n0_d1_m0,smoothing_window,7,5,30,0.0,0.0,0.0,0.5757060803161708,1.0
n0_d1_m0,smoothing_window,9,5,30,0.0,0.0,0.0,0.5757060803161708,1.0
n0_d1_m0,nominal_control_points,8,12,30,-4.813597419043333,-10.875921782191327,0.4351467286308589,0.6073610512206411,1.0
n0_d1_m0,nominal_control_points,12,12,30,0.0,0.0,0.0,0.5757060803161708,1.0
n0_d1_m0,nominal_control_points,16,12,30,1.2594144851568796,-1.5968353468848797,4.6352629711525255,0.559402784489466,1.0
n0_d1_m0,learning_rate,0.5,0.65,30,-10.356313799830222,-14.69421277731675,-6.47106792190431,0.6198340584158307,1.0
n0_d1_m0,learning_rate,0.65,0.65,30,0.0,0.0,0.0,0.5757060803161708,1.0
n0_d1_m0,learning_rate,0.8,0.65,30,6.8087631803292865,4.301894471111829,10.136437137728223,0.5351314439881674,1.0
n1_d1_m1,residual_delay_shrinkage,0.0,0.0,30,0.0,0.0,0.0,0.6004558644126117,1.0
n1_d1_m1,residual_delay_shrinkage,0.1,0.0,30,3.270815025492503,2.4032295615770694,4.542353341538815,0.5800294626862992,1.0
n1_d1_m1,residual_delay_shrinkage,0.25,0.0,30,6.101035246217579,3.994729407530532,10.512838649606353,0.5675683497201216,1.0
n1_d1_m1,residual_delay_shrinkage,0.4,0.0,30,7.559224442348868,2.300433309849529,11.259695933547086,0.5602028355054656,1.0
n1_d1_m1,residual_delay_shrinkage,0.6,0.0,30,6.98663079362469,-2.2928877413332893,12.455016420433921,0.5602853449517805,1.0
n1_d1_m1,residual_delay_shrinkage,1.0,0.0,30,-1.4695008319053835,-17.008844694351982,11.473000090954226,0.6264730243462724,1.0
n1_d1_m1,smoothing_window,3,5,30,0.0,0.0,0.0,0.5675683497201216,1.0
n1_d1_m1,smoothing_window,5,5,30,0.0,0.0,0.0,0.5675683497201216,1.0
n1_d1_m1,smoothing_window,7,5,30,0.0,0.0,0.0,0.5675683497201216,1.0
n1_d1_m1,smoothing_window,9,5,30,0.0,0.0,0.0,0.5675683497201216,1.0
n1_d1_m1,nominal_control_points,8,12,30,-6.710770879125702,-11.751257984491541,-2.0182293037400245,0.608238511738328,1.0
n1_d1_m1,nominal_control_points,12,12,30,0.0,0.0,0.0,0.5675683497201216,1.0
n1_d1_m1,nominal_control_points,16,12,30,-0.182907804745711,-3.9157105327240367,3.204565540033925,0.5743778344904895,1.0
n1_d1_m1,learning_rate,0.5,0.65,30,-9.910823156196681,-16.126356590341118,-6.497057912412643,0.623638142725466,1.0
n1_d1_m1,learning_rate,0.65,0.65,30,0.0,0.0,0.0,0.5675683497201216,1.0
n1_d1_m1,learning_rate,0.8,0.65,30,4.978530980033318,3.142057606293415,9.831961779511946,0.5468475715166792,1.0
