method,update,zone_index,zone_name,zone_role
v11_full,0,2,blend_transition,blend_transition
v11_full,0,4,curvature_feature,curvature_feature
v11_full,1,2,blend_transition,blend_transition
v11_full,1,4,curvature_feature,curvature_feature
v11_full,2,2,blend_transition,blend_transition
v11_full,2,4,curvature_feature,curvature_feature
v11_full,3,3,motion_transition,motion_transition
v11_full,3,4,curvature_feature,curvature_feature
no_residual_alignment,0,2,blend_transition,blend_transition
no_residual_alignment,0,4,curvature_feature,curvature_feature
no_residual_alignment,1,3,motion_transition,motion_transition
no_residual_alignment,1,4,curvature_feature,curvature_feature
no_residual_alignment,2,2,blend_transition,blend_transition
no_residual_alignment,2,4,curvature_feature,curvature_feature
no_residual_alignment,3,3,motion_transition,motion_transition
no_residual_alignment,3,4,curvature_feature,curvature_feature
