sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
0,0.0,-1,nan,-30.0,0.0,-29.991219317945568,-0.017211306024399325,-29.991219317945568,-0.017211306024399325,-29.991219317945568,-0.017211306024399325,-0.015574554978542841,-0.015574554978542841,-0.015574554978542841
1,0.0375,-1,nan,-29.992998046875,0.013931607536509318,-29.98455123476278,-0.012307226109685515,-29.98455123476278,-0.012307226109685515,-29.98455123476278,-0.012307226109685515,-0.01933021973983501,-0.01933021973983501,-0.01933021973983501
2,0.075,-1,nan,-29.972109375,0.055492911106619275,-29.978263551451647,-0.007232530059882223,-29.978263551451647,-0.007232530059882223,-29.978263551451647,-0.007232530059882223,-0.022669677285703356,-0.022669677285703356,-0.022669677285703356
3,0.11249999999999999,-1,nan,-29.937509765625,0.12433102862495067,-29.97251109164291,-0.002057568823209205,-29.97251109164291,-0.002057568823209205,-29.97251109164291,-0.002057568823209205,-0.02548865579969057,-0.02548865579969057,-0.02548865579969057
4,0.15,-1,nan,-29.889375,0.22008425700885453,-29.96743549998838,0.003145916667196362,-29.96743549998838,0.003145916667196362,-29.96743549998838,0.003145916667196362,-0.027702518725212677,-0.027702518725212677,-0.027702518725212677
5,0.1875,-1,nan,-29.827880859375,0.34237241227601845,-29.96316175439952,0.008305790044012159,-29.96316175439952,0.008305790044012159,-29.96316175439952,0.008305790044012159,-0.029257346889803942,-0.029257346889803942,-0.029257346889803942
6,0.22499999999999998,0,0.14,-29.753203125,0.49078391370394053,-29.959795088676465,0.013350519538401131,-29.959795088676465,0.013350519538401131,-29.959795088676465,0.013350519538401131,-0.030143778924691472,-0.030143778924691472,-0.030143778924691472
7,0.2625,0,0.14,-29.665517578125,0.6648599812185398,-29.95741840130265,0.018210169631081047,-29.95741840130265,0.018210169631081047,-29.95741840130265,0.018210169631081047,-0.030413343877348398,-0.030413343877348398,-0.030413343877348398
8,0.3,0,0.14,-29.565,0.8640763314214499,-29.95362046972734,0.022902212599604038,-29.941922189455898,0.023304078378203964,-29.94305048175809,0.02326531865848563,-0.03236333553606341,-0.042624020888676284,-0.04163438377707296
9,0.33749999999999997,0,0.14,-29.451826171875,1.0878227857500447,-29.944246190255136,0.027390201643271498,-29.915209197678013,0.02783616891521941,-29.91789199129024,0.02779720260759745,-0.03994438385697496,-0.06564575572836018,-0.06327013648658353
