plant_group,scenario_id,proposed,comparator,plant_n,tasks_per_plant,median_plant_effect_percent,plant_ci95_low,plant_ci95_high,plant_win_rate,worst_plant_effect_percent,best_plant_effect_percent
held_out_lhs,n0_d0_m0,v11_full,no_residual_alignment,24,5,2.960079851999771,2.29051583808493,5.173386541573102,1.0,0.48351229969445475,9.104006402481494
held_out_lhs,n0_d0_m0,v11_full,raw_top2,24,5,0.0,0.0,0.03395312946459676,0.2916666666666667,0.0,3.0474468642515187
held_out_lhs,n0_d0_m0,v11_full,uniform_full_trajectory,24,5,3.9766562669992087,2.6745502006548483,5.8392816730833506,0.875,-6.44161702035316,11.836683951883666
held_out_lhs,n0_d1_m0,v11_full,no_residual_alignment,24,5,5.5891695688201235,4.832029068086913,6.697204676436065,1.0,3.1060139448149533,8.581901521807572
held_out_lhs,n0_d1_m0,v11_full,raw_top2,24,5,0.0,0.0,1.5044067143911344,0.4583333333333333,0.0,7.729333346008113
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,24,5,2.5471263919631575,1.913703654420469,4.907783795749415,0.875,-1.3057911048165576,10.33474530184759
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,24,5,6.258032378247619,5.21798394456625,6.888596781949799,1.0,2.5234509502843774,10.154831963691546
held_out_lhs,n1_d1_m1,v11_full,raw_top2,24,5,0.0,0.0,0.47584340095320005,0.3333333333333333,0.0,5.585298728029625
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,24,5,2.9763732004146286,1.8992085246452595,4.30900071321541,0.9583333333333334,-0.8556800283721189,9.392270519972977
edge_challenge,n0_d0_m0,v11_full,no_residual_alignment,6,5,5.734462245436664,4.710716069074974,7.292260095719762,1.0,4.708751345999635,7.702927709339395
edge_challenge,n0_d0_m0,v11_full,raw_top2,6,5,0.0,0.0,0.0,0.0,0.0,0.0
edge_challenge,n0_d0_m0,v11_full,uniform_full_trajectory,6,5,3.700905224866853,3.3133539733217887,8.739248740425321,1.0,2.9725057845375527,9.216353621883737
edge_challenge,n0_d1_m0,v11_full,no_residual_alignment,6,5,5.5521589936779066,4.674125146393182,5.667297051882972,1.0,3.951106425828764,5.699535266563615
edge_challenge,n0_d1_m0,v11_full,raw_top2,6,5,0.0,0.0,0.0,0.0,0.0,0.0
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,6,5,5.158010323534479,0.8735076349188252,9.071969532162967,1.0,0.8462892032143312,9.093828679496093
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,6,5,5.235247536581689,2.8827457764277282,6.396189294360218,1.0,1.6275571890256755,6.398452813348954
edge_challenge,n1_d1_m1,v11_full,raw_top2,6,5,0.0,0.0,0.0,0.0,0.0,0.0
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,6,5,5.554124399019042,0.6423930288071302,9.51339579779031,1.0,0.542083106815518,9.530431664432465
